trial	prizeDoor	firstChoice	selectedWinner	revealedDoor	switchChoice	action	finalChoice	winner	outcome
173	3	2	FALSE	1	TRUE	switched	3	TRUE	won
174	3	1	FALSE	2	TRUE	switched	3	TRUE	won
175	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
176	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
177	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
178	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
179	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
180	1	3	FALSE	2	TRUE	switched	1	TRUE	won
181	1	3	FALSE	2	TRUE	switched	1	TRUE	won
182	3	1	FALSE	2	TRUE	switched	3	TRUE	won
183	1	1	TRUE	2	FALSE	stayed	1	TRUE	won
184	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
185	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
186	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
187	2	3	FALSE	1	TRUE	switched	2	TRUE	won
188	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
189	1	2	FALSE	3	TRUE	switched	1	TRUE	won
190	3	1	FALSE	2	TRUE	switched	3	TRUE	won
191	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
192	2	1	FALSE	3	TRUE	switched	2	TRUE	won
193	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
194	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
195	2	1	FALSE	3	TRUE	switched	2	TRUE	won
196	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
197	1	1	TRUE	3	TRUE	switched	2	FALSE	lost
198	1	3	FALSE	2	TRUE	switched	1	TRUE	won
199	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
200	3	1	FALSE	2	TRUE	switched	3	TRUE	won
201	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
202	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
203	1	2	FALSE	3	TRUE	switched	1	TRUE	won
204	1	3	FALSE	2	TRUE	switched	1	TRUE	won
205	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
206	1	3	FALSE	2	TRUE	switched	1	TRUE	won
207	2	1	FALSE	3	TRUE	switched	2	TRUE	won
208	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
209	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
210	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
211	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
212	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
